
2022/10/20 (21:02:29) | ===> btop++ v.1.2.9
2022/10/20 (21:02:29) | ERROR: Stall in Runner thread, restarting!

2022/11/01 (09:54:03) | ===> btop++ v.1.2.12
2022/11/01 (09:54:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (10:04:07) | ===> btop++ v.1.2.12
2022/11/01 (10:04:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/01 (17:24:35) | ERROR: Stall in Runner thread, restarting!

2022/11/01 (17:51:41) | ===> btop++ v.1.2.12
2022/11/01 (17:51:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (18:02:06) | ===> btop++ v.1.2.12
2022/11/01 (18:02:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/09 (12:09:06) | ===> btop++ v.1.2.12
2022/11/09 (12:09:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/09 (12:23:07) | ===> btop++ v.1.2.12
2022/11/09 (12:23:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/10 (00:34:26) | ERROR: Stall in Runner thread, restarting!
2022/11/10 (07:34:22) | ERROR: Stall in Runner thread, restarting!

2022/11/10 (13:14:47) | ===> btop++ v.1.2.12
2022/11/10 (13:14:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (13:15:34) | ===> btop++ v.1.2.12
2022/11/10 (13:15:34) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/10 (16:00:07) | ERROR: Stall in Runner thread, restarting!

2022/11/14 (12:30:54) | ===> btop++ v.1.2.13
2022/11/14 (12:30:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/15 (11:21:09) | ===> btop++ v.1.2.13
2022/11/15 (11:21:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/15 (17:34:54) | ERROR: Stall in Runner thread, restarting!

2022/11/17 (16:07:52) | ===> btop++ v.1.2.13
2022/11/17 (16:07:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/22 (13:25:25) | ===> btop++ v.1.2.13
2022/11/22 (13:25:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/22 (13:25:41) | ===> btop++ v.1.2.13
2022/11/22 (13:25:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/22 (18:19:10) | ERROR: Stall in Runner thread, restarting!

2022/11/24 (16:02:16) | ===> btop++ v.1.2.13
2022/11/24 (16:02:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/06 (13:00:29) | ===> btop++ v.1.2.13
2022/12/06 (13:00:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/12/07 (23:56:25) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:10:06) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:10:16) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:10:33) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:10:53) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:14:24) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:14:31) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:14:53) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:14:59) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:15:30) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:00) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:07) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:15) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:21) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:31) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (12:17:42) | ERROR: Stall in Runner thread, restarting!
